"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1453","7713","mariola (drag queen)","characters","unknown","unknown","unknown","yes","no","gay explicit","gender non-conforming","npc","yes","nan","nan","nan","nan"
"1454","7714","simone cole","characters","unknown","unknown","unknown","no","yes","lesbian explicit","nan","pc","nan","nan","nan","nan","nan"
"1455","7715","abigail","characters","unknown","unknown","unknown","no","yes","lesbian implicit","nan","pc","yes","white","nan","nan","nan"
"1456","7716","angof","characters","unknown","unknown","unknown","no","no","nan","transgender woman explicit","npc","no","nan","nan","nan","nan"
"1457","7717","barber","characters","unknown","unknown","unknown","yes","no","gay implicit","gender non-conforming","npc","yes","white","nan","nan","nan"
"1458","7718","bernie crane","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1459","7718","brucie kibbutz","characters","unknown","unknown","unknown","yes","no","bisexual implicit","nan","npc","nan","nan","nan","nan","nan"
"1460","7718","bryce dawkins","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1461","7719","carl/quentin","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","npc","nan","nan","nan","nan","nan"
"1462","7720","clay jackson","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1463","7721","cross-dressing","actions","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","crossdressing","nan","nan"
"1464","7721","cross-dressing","traits","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","crossdressing","nan","nan"
"1465","7722","cross-dressing","actions","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1466","7722","cross-dressing","traits","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1467","7723","damone lacoque","characters","unknown","unknown","unknown","yes","no","bisexual implicit","nan","npc","nan","nan","nan","nan","nan"
"1468","7724","danny","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1469","7724","danny mccormick","characters","unknown","unknown","unknown","no","no","gay explicit","nan","npc","yes","white","nan","nan","nan"
